(13, 54)
(14, 56)
(14, 55)
(14, 54)
(14, 52)
(13, 47)
(12, 41)
(11, 36)
(10, 29)
(8, 23)
(6, 13)
(8, 14)
(9, 14)
(10, 14)
(11, 14)
(12, 13)
(12, 12)
(13, 11)
(12, 10)
(12, 8)
(11, 6)
(21, 8)
(28, 9)
(34, 10)
(39, 11)
(46, 12)
(51, 12)
(53, 13)
(55, 12)
(55, 12)
(54, 11)
(56, 21)
(55, 28)
(54, 34)
(52, 39)
(47, 46)
(41, 51)
(36, 53)
(29, 55)
(23, 55)
(11, 54)
(21, 56)
(27, 55)
(34, 54)
(39, 52)
(46, 47)
(51, 41)
(53, 36)
(54, 29)
(55, 23)
(54, 13)
(55, 14)
(55, 14)
(54, 14)
(52, 14)
(47, 13)
(41, 12)
(35, 11)
(29, 10)
(23, 8)
(13, 6)
(14, 8)
(13, 9)
(14, 10)
(14, 11)
(13, 12)
(12, 12)
(11, 13)
(9, 12)
(8, 12)
(6, 11)
(7, 21)
(9, 28)
(10, 34)
(11, 39)
(12, 46)
(12, 51)
(12, 53)
(12, 55)
(12, 55)
